YearMonth,Sido,Sigungu,Education_Join_Sigungu,Elementary_School_Count,Middle_School_Count,High_School_Count
202401,경기도,안산시 상록구,안산시,56,30,24
202401,경기도,동두천시,동두천시,11,6,6
202401,인천광역시,부평구,부평구,42,21,19
202401,인천광역시,남동구,남동구,39,22,16
202401,부산광역시,사상구,사상구,21,10,5
202401,대구광역시,수성구,수성구,34,23,17
202401,대구광역시,중구,중구,10,5,4
202401,부산광역시,사상구,사상구,21,10,5
202401,경기도,안산시 단원구,안산시,56,30,24
202401,인천광역시,미추홀구,미추홀구,23,12,15
202401,인천광역시,연수구,연수구,33,19,16
202401,대구광역시,수성구,수성구,34,23,17
202401,충청남도,아산시,아산시,49,20,11
202401,경기도,고양시 덕양구,고양시,89,44,38
202401,경기도,고양시 덕양구,고양시,89,44,38
202401,경상남도,함안군,함안군,18,8,5
202401,경상남도,함안군,함안군,18,8,5
202401,경기도,김포시,김포시,47,24,14
202401,충청남도,아산시,아산시,49,20,11
202401,충청남도,아산시,아산시,49,20,11
202401,충청남도,아산시,아산시,49,20,11
202401,충청남도,아산시,아산시,49,20,11
202401,강원특별자치도,태백시,태백시,12,6,5
202401,충청북도,충주시,충주시,37,19,11
202401,충청남도,아산시,아산시,49,20,11
202401,경기도,고양시 덕양구,고양시,89,44,38
202401,강원특별자치도,춘천시,춘천시,43,20,14
202401,충청북도,청주시 서원구,청주시,98,47,37
202401,경기도,이천시,이천시,31,15,12
202401,충청북도,충주시,충주시,37,19,11
202401,울산광역시,울주군,울주군,32,14,12
202401,부산광역시,사하구,사하구,26,16,14
202401,부산광역시,사하구,사하구,26,16,14
202401,부산광역시,영도구,영도구,14,8,6
202401,부산광역시,부산진구,부산진구,32,19,17
202401,부산광역시,동래구,동래구,23,14,13
202401,부산광역시,동래구,동래구,23,14,13
202401,부산광역시,동래구,동래구,23,14,13
202401,세종특별자치시,세종특별자치시,세종특별자치시,53,27,21
202401,세종특별자치시,세종특별자치시,세종특별자치시,53,27,21
202401,충청북도,청주시 서원구,청주시,98,47,37
202401,대전광역시,동구,동구,23,12,9
202401,충청북도,청주시 흥덕구,청주시,98,47,37
202401,부산광역시,북구,북구,27,15,9
202401,경기도,수원시 장안구,수원시,100,57,44
202401,경기도,수원시 권선구,수원시,100,57,44
202401,경기도,수원시 팔달구,수원시,100,57,44
202401,경기도,수원시 영통구,수원시,100,57,44
202401,경기도,양주시,양주시,37,11,8
202401,광주광역시,광산구,광산구,45,26,17
202401,경기도,파주시,파주시,60,28,18
202401,경기도,용인시 기흥구,용인시,105,50,32
202401,경기도,용인시 기흥구,용인시,105,50,32
202401,경기도,용인시 수지구,용인시,105,50,32
202401,경기도,이천시,이천시,31,15,12
202401,충청북도,청주시 청원구,청주시,98,47,37
202401,강원특별자치도,홍천군,홍천군,26,11,7
202401,대전광역시,유성구,유성구,40,22,17
202401,광주광역시,남구,남구,23,16,17
202401,충청남도,태안군,태안군,21,8,4
202401,충청남도,공주시,공주시,28,14,10
202401,전라남도,여수시,여수시,59,25,15
202401,전라남도,여수시,여수시,59,25,15
202401,경기도,의왕시,의왕시,14,7,5
202401,충청남도,천안시 동남구,천안시,79,31,23
202401,충청남도,천안시 동남구,천안시,79,31,23
202401,충청남도,천안시 서북구,천안시,79,31,23
202401,충청남도,천안시 서북구,천안시,79,31,23
202401,대구광역시,남구,남구,11,6,7
202401,전라남도,순천시,순천시,44,22,15
202401,전라남도,해남군,해남군,22,11,4
202401,경상북도,김천시,김천시,30,15,10
202401,경상남도,김해시,김해시,60,33,23
202401,경상남도,김해시,김해시,60,33,23
202401,경상남도,김해시,김해시,60,33,23
202401,경상북도,경주시,경주시,44,20,19
202401,경상북도,경주시,경주시,44,20,19
202401,경상남도,창원시 성산구,창원시,114,66,48
202401,경상북도,포항시 남구,포항시,68,35,27
202401,경상북도,포항시 북구,포항시,68,35,27
202401,경상남도,진주시,진주시,46,22,22
202401,경상남도,진주시,진주시,46,22,22
202401,경상북도,상주시,상주시,31,17,10
202401,경상북도,구미시,구미시,52,28,21
202401,충청남도,서산시,서산시,30,16,8
202401,강원특별자치도,강릉시,강릉시,39,12,11
202401,강원특별자치도,강릉시,강릉시,39,12,11
202401,울산광역시,북구,북구,22,14,12
202401,광주광역시,북구,북구,48,28,21
202401,경기도,의정부시,의정부시,34,20,16
202401,경기도,의정부시,의정부시,34,20,16
202401,경기도,평택시,평택시,69,28,21
202401,경기도,평택시,평택시,69,28,21
202401,경기도,평택시,평택시,69,28,21
202401,강원특별자치도,원주시,원주시,51,24,15
202401,강원특별자치도,원주시,원주시,51,24,15
202401,강원특별자치도,원주시,원주시,51,24,15
202401,강원특별자치도,원주시,원주시,51,24,15
202401,경기도,광주시,광주시,34,12,8
202401,대전광역시,중구,중구,27,14,14
